,type_sol,classe_age,classe_hauteur,classe_circonference,vigueur_pousse,plaie_collet,fissure_tronc,plaie_tronc,fissure_houppier,bois_mort_houppier,plaie_houppier,prescription_1,prescription_2,prescription_3,type_delai_1,type_delai_2,ID_ARBRE,commune,quartier,site,cote_voirie,genre_arbre,espece_arbre,situation,port_arbre,champignon_collet,insecte_collet,observation_collet,champignon_tronc,insecte_tronc,rejet_tronc,tuteurage_arbre,canisse_arbre,observation_tronc,champignon_houppier,insecte_houppier,ecorce_incluse_houppier,observation_houppier,contrainte,date_diagnostic,observation_travaux,matricule_arbre,controle,surf_permeable,date_plantation,hauteur,diametre,circonference (en cm),esperance_maintien,Long,Lat,classification_diagnostic
636,Gr,A,H2,C2,P,RCPLC,TPF,TPLC,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-637,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/25,,26,,1.0,1980,600,57.29577951308232,90,1.0,2.099,48.896,C2
603,Gr,A,H2,C2,P,RCPLC,TPF,TPLC,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-604,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Impair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/25,,27,,1.0,1980,600,60.47887837492023,95,1.0,2.098,48.897,C2
465,MA,A,H2,C2,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-466,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Impair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/23,,36,,4.0,1980,800,50.92958178940651,80,2.0,2.083,48.904,C2
646,Gr,A,H2,C2,P,RCPLC,TPF,TPLC,HPF ,HPBM ,HPLS,trd,,,,b,78551-Arbres-647,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Branches cassées ,Non,2020/11/25,Rehaussement de la voute,36,,1.0,1980,600,57.29577951308232,90,1.0,2.099,48.897,C2
515,MA,A,H2,C3,PP,RCPLS,TPF,TPLS,HPF ,HBMU ,HPLS,,,,,,78551-Arbres-516,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Axe 3 Mort 2M Nord,Non,2020/11/24,,38,,4.0,1980,800,70.02817496043394,110,2.0,2.085,48.903,C3
565,P,A,H1,C2,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLS,tdg,,,,a,78551-Arbres-566,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Place des Combattants,,Magnolia, x Soulangena - Soul. Bod - Heaven Scent,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Axe2 dépassement dans la résidence mitoyenne,Oui,2020/11/24,,1,,4.0,2000,500,44.563384065730695,70,1.0,2.098,48.896,C2
361,Gr,JA,H1,C2,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-362,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Pair,Carpinus, Betulus - L. -  ,Alignement,SL,Non,Non, Racine apparente,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/18,,12,,1.0,2010,500,50.92958178940651,80,1.0,2.072,48.894,C1
302,Gr,J,H1,C1,P,RCPPL,TPF,TPPL,HPF ,HPBM ,HPLS,tfo,RC,,,b,78551-Arbres-303,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Impair,Fraxinus, Angustifolia - L. - Raywood,Alignement,L,Non,Non,,Non,Non,Non,Non,Oui,,Non,Non,Non,,Non,2020/11/18,,4,,1.0,2018,500,25.464790894703256,40,1.0,2.066,48.895,C1
559,Gr,A,H1,C1,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-560,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,Échaudure ,Non,Non,Non,,Non,2020/11/24,,19,,1.0,2000,500,31.830988618379067,50,1.0,2.097,48.896,C2
131,S,JA,H2,C1,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-132,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Turgot,,Corylus, Colurna - L. -  ,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/20,coté cimetière ligne électrique,9,,1.5,2010,700,31.830988618379067,50,1.0,2.068,48.901,C1
337,Gr,J,H2,C1,P,RCPPL,TPF,TPPL,HPF ,HPBM ,HPLS,tfo,RC,,,b,78551-Arbres-338,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Impair,Fraxinus, Angustifolia - L. - Raywood,Alignement,L,Non,Non,,Non,Non,Non,Non,Oui,,Non,Non,Non,,Non,2020/11/18,,39,,1.0,2019,600,19.09859317102744,30,1.0,2.07,48.898,C1
512,MA,A,H2,C3,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-513,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/24,,35,,4.0,1980,800,79.57747154594767,125,2.0,2.085,48.903,C2
253,S,A,H1,C3,P,RCPPL,TPF,TPLNC,HPF ,HPBM ,HPLNC,tac,,,,b,78551-Arbres-254,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Impair,Prunus, Cerasifera - Ehrh. - Pissardi,Alignement,A,Non,Non,,Oui,Non,Non,Non,Non,Phellin du fruitier,Oui,Non,Non,Phellin du fruitier,Non,2020/10/21,,54,,1.0,2000,500,70.02817496043394,110,2.0,2.072,48.898,C3
44,Gr,J,H1,C1,PP,RCPPL,TPF,TPLS,HPF ,HPBM ,HPPL,tfo,,,,b,78551-Arbres-045,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,Zelkova, Carpinifolia - K. Koch -  ,Isolé,L,Non,Non,Bidime,Non,Non,Non,Non,Oui,,Non,Non,Non,,Non,2020/10/21,,24,,0.0,2015,400,22.281692032865347,35,3.0,2.073,48.903,C1
660,MA,A,H2,C3,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-661,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Pereire,Pair,Acer, Platanoides -   - Columnare,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/12/16,,40,,3.0,2000,700,73.21127382227186,115,1.0,2.071,48.901,C2
58,GR,A,H1,C2,P,RCPPL,TPF,TPLC,HPF ,HPBM ,HPLS,RC,RT,,,b,78551-Arbres-059,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Oui,T2:Bipode,Oui,,Non,Non,Non,,Non,2020/11/13,,41,,4.0,2000,500,35.01408748021697,55,1.0,2.069,48.9,C1
510,MA,A,H2,C3,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLNC,,,,,,78551-Arbres-511,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Branches cassées ,Non,2020/11/24,,33,,4.0,1980,800,89.12676813146139,140,2.0,2.085,48.903,C2
295,Gr,J,H1,C1,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPPL,tfo,,,,b,78551-Arbres-296,Saint Germain en Laye,Quartier 6 - Hôpital,Rue Léon Désoyer,,Ostrya, Carpinifolia - Scop. -  ,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/22,,39,,1.0,2010,500,28.64788975654116,45,1.0,2.082,48.9,C2
308,Gr,J,H1,C1,P,RCPPL,TPF,TPPL,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-309,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Impair,Fraxinus, Angustifolia - L. - Raywood,Alignement,L,Non,Non,,Non,Non,Non,Non,Non,Échaudure ,Non,Non,Non,,Non,2020/11/18,retirer canisse,10,,1.0,2018,500,22.281692032865347,35,1.0,2.067,48.896,C2
69,MA,JA,H2,C2,P,RCPPL,TPF,TPLC,HPF ,HPBM ,HPPL,tfo,,,,b,78551-Arbres-070,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Pereire,,Corylus, Colurna - L. -  ,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/19,coté cimetière ligne électrique,2,,20.0,2010,700,38.19718634205488,60,1.0,2.064,48.901,C1
384,Gr,JA,H2,C1,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-385,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Avenue Saint-Fiacre,Impair,Carpinus, Betulus - L. -  ,Alignement,L,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/19,,13,,1.0,2010,800,31.830988618379067,50,1.0,2.072,48.894,C2
17,S,JA,H3,C2,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-018,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,Fraxinus, Angustifolia - L. - Raywood,Alignement,L,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/16,,11,,5.0,2010,1200,47.7464829275686,75,1.0,2.065,48.902,C1
405,Gr,JA,H3,C2,P,RCPPL,TPF,TPLNC,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-406,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Rue des Gaudines,Impair,Tilia, sp. -   -  ,Alignement,L,Non,Non,,Non,Non,Non,Non,Non,Plaie longitudinale ,Non,Non,Non,,Non,2020/11/19,,1,,1.0,2000,1200,63.66197723675813,100,1.0,2.072,48.893,C2
318,Gr,J,H1,C1,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-319,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Impair,Fraxinus, Angustifolia - L. - Raywood,Alignement,L,Non,Non,,Non,Non,Non,Non,Non,Échaudure ,Non,Non,Non,,Non,2020/11/18,retirer canisse,20,,1.0,2018,500,19.09859317102744,30,1.0,2.068,48.897,C2
577,Gr,A,H2,C2,P,RCPLC,TPF,TPLC,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-578,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Impair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/25,,1,,1.0,1980,600,57.29577951308232,90,1.0,2.098,48.895,C2
65,GR,A,H1,C2,P,RCPPL,TPF,TPLC,HPF ,HPBM ,HPLS,RC,RT,,,b,78551-Arbres-066,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,T2:Bipode,Oui,,Non,Non,Non,,Non,2020/11/13,,47,,4.0,2000,500,38.19718634205488,60,1.0,2.07,48.899,C1
208,GR,A,H1,C2,P,RCPPL,TPF,TPLC,HPF ,HPBM ,HPLS,RC,RT,,,b,78551-Arbres-209,Saint Germain en Laye,Quartier 3 - Lycée International,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,T2:Bipode,Oui,,Non,Non,Non,,Non,2020/10/23,,10,,4.0,2000,500,35.01408748021697,55,1.0,2.065,48.9,C2
214,GR,A,H1,C2,P,RCPPL,TPF,TPLC,HPF ,HPBM ,HPLS,RC,RT,,,b,78551-Arbres-215,Saint Germain en Laye,Quartier 3 - Lycée International,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,T2:Bipode,Oui,,Non,Non,Non,,Non,2020/11/12,,16,,4.0,2000,500,38.19718634205488,60,1.0,2.065,48.9,C2
670,MA,JA,H3,C2,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLNC,tfo,,,,b,78551-Arbres-671,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Pereire,Impair,Acer, Platanoides -   - Columnare,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Plaie longitudinale,Non,2020/12/16,,7,,3.0,2000,1200,54.11268065124442,85,1.0,2.07,48.901,C2
29,Gr,J,H1,C1,PP,RCPPL,TPF,TPLS,HPF ,HPBM ,HPPL,tfo,,,,b,78551-Arbres-030,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,Tilia, Platyphyllos -  - Flamme du Vercor,Alignement,SL,Non,Non,Bidime,Non,Non,Non,Non,Oui,,Non,Non,Non,,Non,2020/10/21,,10,,0.0,2015,400,28.64788975654116,45,3.0,2.074,48.903,C1
688,S,JA,H2,C2,PP,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLNC,,,,,,78551-Arbres-689,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Bastiat,Impair,Acer, Platanoides -   - Columnare,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Affaiblissement physiologique important,Non,2020/12/16,,13,,1.0,2000,700,44.563384065730695,70,2.0,2.072,48.902,C2
698,CS,A,H5,C4,P,RCPLS,TPF,TPLNC,HPF ,HBMI ,HPLS,sl,,,,a,78551-Arbres-699,Saint Germain en Laye,Quartier 7 - Debussy - Schnapper,Bois Schnapper,,Fraxinus, Excelsior - L. -  ,Bosquet,L,Non,Non,,Non,Non,Non,Non,Non,Cavité ouverte ,Non,Non,Non,Lierre,Oui,2020/12/15,accès difficile,10,,100.0,1990,2400,114.59155902616465,180,2.0,2.088,48.888,C2
85,S,JA,H2,C1,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPPL,tfo,,,,b,78551-Arbres-086,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Rue Pereire,,Corylus, Colurna - L. -  ,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/19,coté cimetière ligne électrique,18,,1.5,2010,700,28.64788975654116,45,1.0,2.066,48.901,C1
232,GR,A,H1,C1,P,RCPPL,TPF,TPLNC,HPF ,HPBM ,HPLS,RT,RC,,,b,78551-Arbres-233,Saint Germain en Laye,Quartier 3 - Lycée International,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,Cavité ouverte ,Non,Non,Non,,Non,2020/11/13,,34,,4.0,2000,500,25.464790894703256,40,2.0,2.067,48.9,C3
690,CS,AM,H5,C7,MP,RCPLS,TPF,TPLS,HPF ,HPBM ,ZZ,sl,,,,a,78551-Arbres-691,Saint Germain en Laye,Quartier 7 - Debussy - Schnapper,Bois Schnapper,,Tilia, Cordata - Mill. - Mill.,Bosquet,L,Non,Non,Drageons,Non,Non,Oui,Non,Non,,Non,Non,Non,Lierre,Oui,2020/12/15,accès difficile,2,,100.0,1960,2500,222.81692032865348,350,3.0,2.089,48.888,C2
242,CS,J,H2,C1,P,RCPPL,TPF,TPPL,HPF ,HPBM ,HPLS,tfo,,,b,b,78551-Arbres-243,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,RN13,Impair,Tilia, sp. -   -  ,Alignement,L,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/16,,67,,3.0,2015,600,28.64788975654116,45,1.0,2.073,48.899,C1
289,Gr,J,H1,C1,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPPL,tfo,,,,b,78551-Arbres-290,Saint Germain en Laye,Quartier 6 - Hôpital,Rue Léon Désoyer,,Ostrya, Carpinifolia - Scop. -  ,Alignement,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/22,,33,,1.0,2010,500,31.830988618379067,50,1.0,2.081,48.9,C2
310,Gr,J,H1,C1,P,RCPPL,TPF,TPPL,HPF ,HPBM ,HPLS,tfo,RC,,,b,78551-Arbres-311,Saint Germain en Laye,Quartier 4 - Rotondes - St Léger,Rue Saint-Leger,Impair,Fraxinus, Angustifolia - L. - Raywood,Alignement,L,Non,Non,,Non,Non,Non,Non,Oui,,Non,Non,Non,Axe 3 Mort 2M Nord,Non,2020/11/18,,12,,1.0,2018,500,22.281692032865347,35,1.0,2.067,48.896,C2
274,Gr,JA,H1,C2,MP,RCPPL,TPF,TPLNC,HPF ,HBMI ,HPPL,tsbm,,,,b,78551-Arbres-275,Saint Germain en Laye,Quartier 6 - Hôpital,Avenue Carnot,,Carpinus, Betulus - L. -  ,Groupe,SL,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Affaiblissement physiologique important,Non,2020/10/22,,3,,1.0,2000,500,38.19718634205488,60,1.0,2.082,48.9,C3
610,Gr,A,H2,C2,P,RCPLC,TPF,TPLC,HPF ,HPBM ,HPLS,rg,,,,b,78551-Arbres-611,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Impair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,Racine apparente,Non,Non,Oui,Non,Non,,Non,Non,Non,,Non,2020/11/25,,34,,1.0,1980,600,57.29577951308232,90,1.0,2.098,48.897,C2
209,GR,A,H1,C2,P,RCPPL,TPF,TPLNC,HPF ,HPBM ,HPLS,RC,RT,,,b,78551-Arbres-210,Saint Germain en Laye,Quartier 3 - Lycée International,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,T2:Bipode,Oui,,Non,Non,Non,,Non,2020/10/23,,11,,4.0,2000,500,38.19718634205488,60,1.0,2.065,48.9,C2
221,GR,A,H1,C1,P,RCPPL,TPF,TPLC,HPF ,HPBM ,HPLS,RC,RT,,,b,78551-Arbres-222,Saint Germain en Laye,Quartier 3 - Lycée International,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,T2:Bipode,Oui,,Non,Non,Non,Branches cassées ,Non,2020/11/13,,23,,4.0,2000,500,28.64788975654116,45,1.0,2.066,48.9,C2
34,Gr,J,H1,C1,PP,RCPPL,TPF,TPLS,HPF ,HPBM ,HPPL,tfo,,,,b,78551-Arbres-035,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Place Christiane Frahier,,Tilia, Platyphyllos -  - Flamme du Vercor,Alignement,SL,Non,Non,Bidime,Non,Non,Non,Non,Oui,,Non,Non,Non,,Non,2020/10/21,,14,,0.0,2015,400,28.64788975654116,45,3.0,2.074,48.903,C1
634,Gr,A,H2,C2,P,RCPLC,TPF,TPLC,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-635,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Avenue Gambetta,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,Déchirure ,Non,2020/11/25,,24,,1.0,1980,600,57.29577951308232,90,1.0,2.099,48.896,C2
552,Gr,A,H1,C2,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-553,Saint Germain en Laye,Quartier 1 - Cœur de Ville et Quatier forestier,Rue de Gramont,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/24,,12,,1.0,2000,500,35.01408748021697,55,1.0,2.097,48.896,C2
207,MA,A,H1,C2,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLS,RC,RT,,,b,78551-Arbres-208,Saint Germain en Laye,Quartier 3 - Lycée International,RN13,Impair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Oui,T2:Bipode,Oui,,Non,Non,Non,,Non,2020/11/16,,65,,4.0,2000,500,38.19718634205488,60,1.0,2.07,48.899,C1
53,GR,A,H1,C2,P,RCPPL,TPF,TPLNC,HPF ,HPBM ,HPLS,RT,RC,,,b,78551-Arbres-054,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,RN13,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/23,,4,,4.0,2000,500,38.19718634205488,60,1.0,2.064,48.901,C2
481,MA,A,H2,C2,P,RCPLS,TPF,TPLS,HPF ,HPBM ,HPLS,,,,,,78551-Arbres-482,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Avenue du Maréchal Foch,Pair,Tilia, Europaea -  - Pallida,Alignement,R5,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/11/23,,4,,4.0,1980,800,44.563384065730695,70,2.0,2.087,48.902,C2
15,S,JA,H3,C2,P,RCPPL,TPF,TPLS,HPF ,HPBM ,HPLS,tfo,,,,b,78551-Arbres-016,Saint Germain en Laye,Quartier 2 - Alsace - Pereire,Nouveau cimetière,,Fraxinus, Angustifolia - L. - Raywood,Alignement,L,Non,Non,,Non,Non,Non,Non,Non,,Non,Non,Non,,Non,2020/10/16,,8,,5.0,2010,1200,44.563384065730695,70,1.0,2.065,48.902,C1
